Age Bands,Year,LFPR(%),Labour force
Total,1/1/2010,66.2,2047.3
Total,1/1/2011,66.1,2080.1
Total,1/1/2012,66.6,2119.6
Total,1/1/2013,66.7,2138.8
Total,1/1/2014,67,2185.2
Total,1/1/2015,68.3,2232.3
Total,1/1/2016,68,2257.6
Total,1/1/2017,67.7,2269.7
Total,1/1/2018,67.7,2292.7
Total,1/1/2019,68,2328.5
Total,1/1/2020,68.1,2345.5
Total,1/1/2021,70.5,2397.8
15 to 19,1/1/2010,15.4,41.2
15 to 19,1/1/2011,12.3,34.2
15 to 19,1/1/2012,12.4,33.9
15 to 19,1/1/2013,11.8,31.3
15 to 19,1/1/2014,12.3,31
15 to 19,1/1/2015,15.8,40.2
15 to 19,1/1/2016,15.3,37.9
15 to 19,1/1/2017,14.2,35
15 to 19,1/1/2018,15.2,37.7
15 to 19,1/1/2019,15.1,36.3
15 to 19,1/1/2020,13.8,30.1
15 to 19,1/1/2021,15.7,28.8
20 to 24,1/1/2010,65.8,157.6
20 to 24,1/1/2011,62.8,162.1
20 to 24,1/1/2012,63.6,171.3
20 to 24,1/1/2013,61.7,157.1
20 to 24,1/1/2014,61.8,161.2
20 to 24,1/1/2015,65.3,166.2
20 to 24,1/1/2016,62.3,162.5
20 to 24,1/1/2017,62.2,153.2
20 to 24,1/1/2018,61.3,151.3
20 to 24,1/1/2019,61,148.9
20 to 24,1/1/2020,56,135.7
20 to 24,1/1/2021,62.4,139
25 to 29,1/1/2010,89.4,223.2
25 to 29,1/1/2011,89.2,214.6
25 to 29,1/1/2012,88.3,207.3
25 to 29,1/1/2013,88.5,209.7
25 to 29,1/1/2014,89,217.6
25 to 29,1/1/2015,90.3,219.4
25 to 29,1/1/2016,90.3,239.3
25 to 29,1/1/2017,90.2,229.3
25 to 29,1/1/2018,90,236.7
25 to 29,1/1/2019,90.1,239
25 to 29,1/1/2020,90.4,247.6
25 to 29,1/1/2021,90.4,243.7
30 to 34,1/1/2010,89,254.7
30 to 34,1/1/2011,88.6,249.4
30 to 34,1/1/2012,89.8,245
30 to 34,1/1/2013,90.1,248.6
30 to 34,1/1/2014,89.9,250.1
30 to 34,1/1/2015,90.2,243.7
30 to 34,1/1/2016,90.8,244.7
30 to 34,1/1/2017,91.8,242.4
30 to 34,1/1/2018,91,241.2
30 to 34,1/1/2019,92.3,253.7
30 to 34,1/1/2020,92.3,261.5
30 to 34,1/1/2021,93.4,305.6
35 to 39,1/1/2010,86.2,275
35 to 39,1/1/2011,87.3,268.2
35 to 39,1/1/2012,88,266.3
35 to 39,1/1/2013,88,262.3
35 to 39,1/1/2014,88.8,256.2
35 to 39,1/1/2015,89.1,266.8
35 to 39,1/1/2016,89.7,259.7
35 to 39,1/1/2017,89.8,275
35 to 39,1/1/2018,89,270.7
35 to 39,1/1/2019,89.6,266.7
35 to 39,1/1/2020,90.4,272.5
35 to 39,1/1/2021,91.2,283.6
40 to 44,1/1/2010,84.4,254.4
40 to 44,1/1/2011,84.9,256.9
40 to 44,1/1/2012,85.4,265.6
40 to 44,1/1/2013,85.7,266.3
40 to 44,1/1/2014,87.1,265.9
40 to 44,1/1/2015,87.6,276
40 to 44,1/1/2016,88.2,268.4
40 to 44,1/1/2017,87.7,281.1
40 to 44,1/1/2018,88.8,278.4
40 to 44,1/1/2019,88.7,270.1
40 to 44,1/1/2020,89,269.2
40 to 44,1/1/2021,90.6,280.6
45 to 49,1/1/2010,82.4,266.9
45 to 49,1/1/2011,83.7,269.4
45 to 49,1/1/2012,84.4,269.5
45 to 49,1/1/2013,84.5,266.3
45 to 49,1/1/2014,84.7,253
45 to 49,1/1/2015,85.9,258.6
45 to 49,1/1/2016,86.3,260.1
45 to 49,1/1/2017,86.8,272.4
45 to 49,1/1/2018,86.5,270.9
45 to 49,1/1/2019,87.9,284.1
45 to 49,1/1/2020,87.4,277.9
45 to 49,1/1/2021,88.3,266.7
50 to 54,1/1/2010,78.6,235.7
50 to 54,1/1/2011,79.7,246.9
50 to 54,1/1/2012,79.5,249.2
50 to 54,1/1/2013,80,255.2
50 to 54,1/1/2014,81.8,260.5
50 to 54,1/1/2015,82.4,262.6
50 to 54,1/1/2016,81.4,262.3
50 to 54,1/1/2017,82.8,254.8
50 to 54,1/1/2018,82,259.8
50 to 54,1/1/2019,82.3,256.8
50 to 54,1/1/2020,82.2,248.7
50 to 54,1/1/2021,84.8,221.2
55 to 59,1/1/2010,68.3,178.5
55 to 59,1/1/2011,70.2,187.8
55 to 59,1/1/2012,72.4,197
55 to 59,1/1/2013,73.2,205.3
55 to 59,1/1/2014,74.3,220.3
55 to 59,1/1/2015,75.5,223.7
55 to 59,1/1/2016,75.8,226.9
55 to 59,1/1/2017,74.9,213.6
55 to 59,1/1/2018,75.1,224.5
55 to 59,1/1/2019,75,237.1
55 to 59,1/1/2020,75.9,235.3
55 to 59,1/1/2021,77.7,222.5
60 to 64,1/1/2010,51,98.7
60 to 64,1/1/2011,54.7,114.5
60 to 64,1/1/2012,58.1,127.7
60 to 64,1/1/2013,59.7,136.9
60 to 64,1/1/2014,61.2,150.7
60 to 64,1/1/2015,62.4,154.7
60 to 64,1/1/2016,62.8,164.1
60 to 64,1/1/2017,63.6,166.5
60 to 64,1/1/2018,62.2,170.9
60 to 64,1/1/2019,63.9,170.2
60 to 64,1/1/2020,65,181.9
60 to 64,1/1/2021,65.9,199.4
65 to 69,1/1/2010,30.9,36
65 to 69,1/1/2011,36.2,45.1
65 to 69,1/1/2012,38.6,53.1
65 to 69,1/1/2013,40.2,61.4
65 to 69,1/1/2014,41.2,74.2
65 to 69,1/1/2015,42.2,78.3
65 to 69,1/1/2016,43.2,87.9
65 to 69,1/1/2017,43.4,92.1
65 to 69,1/1/2018,45.3,93.7
65 to 69,1/1/2019,46.1,103.7
65 to 69,1/1/2020,48.7,109.2
65 to 69,1/1/2021,50.9,125.4
70 & Over,1/1/2010,11,25.6
70 & Over,1/1/2011,12.5,31.2
70 & Over,1/1/2012,13.1,33.7
70 & Over,1/1/2013,14.4,38.5
70 & Over,1/1/2014,15.3,44.5
70 & Over,1/1/2015,14.9,42
70 & Over,1/1/2016,15,43.9
70 & Over,1/1/2017,16.2,54.4
70 & Over,1/1/2018,17,56.9
70 & Over,1/1/2019,17.6,62.1
70 & Over,1/1/2020,19.4,75.9
70 & Over,1/1/2021,21.3,81.1
