Age Bands,Pivot Field Names,Pivot Field Values
Total,1/1/2010,66.2
Total,1/1/2011,66.1
Total,1/1/2012,66.6
Total,1/1/2013,66.7
Total,1/1/2014,67
Total,1/1/2015,68.3
Total,1/1/2016,68
Total,1/1/2017,67.7
Total,1/1/2018,67.7
Total,1/1/2019,68
Total,1/1/2020,68.1
Total,1/1/2021,70.5
15 to 19,1/1/2010,15.4
15 to 19,1/1/2011,12.3
15 to 19,1/1/2012,12.4
15 to 19,1/1/2013,11.8
15 to 19,1/1/2014,12.3
15 to 19,1/1/2015,15.8
15 to 19,1/1/2016,15.3
15 to 19,1/1/2017,14.2
15 to 19,1/1/2018,15.2
15 to 19,1/1/2019,15.1
15 to 19,1/1/2020,13.8
15 to 19,1/1/2021,15.7
20 to 24,1/1/2010,65.8
20 to 24,1/1/2011,62.8
20 to 24,1/1/2012,63.6
20 to 24,1/1/2013,61.7
20 to 24,1/1/2014,61.8
20 to 24,1/1/2015,65.3
20 to 24,1/1/2016,62.3
20 to 24,1/1/2017,62.2
20 to 24,1/1/2018,61.3
20 to 24,1/1/2019,61
20 to 24,1/1/2020,56
20 to 24,1/1/2021,62.4
25 to 29,1/1/2010,89.4
25 to 29,1/1/2011,89.2
25 to 29,1/1/2012,88.3
25 to 29,1/1/2013,88.5
25 to 29,1/1/2014,89
25 to 29,1/1/2015,90.3
25 to 29,1/1/2016,90.3
25 to 29,1/1/2017,90.2
25 to 29,1/1/2018,90
25 to 29,1/1/2019,90.1
25 to 29,1/1/2020,90.4
25 to 29,1/1/2021,90.4
30 to 34,1/1/2010,89
30 to 34,1/1/2011,88.6
30 to 34,1/1/2012,89.8
30 to 34,1/1/2013,90.1
30 to 34,1/1/2014,89.9
30 to 34,1/1/2015,90.2
30 to 34,1/1/2016,90.8
30 to 34,1/1/2017,91.8
30 to 34,1/1/2018,91
30 to 34,1/1/2019,92.3
30 to 34,1/1/2020,92.3
30 to 34,1/1/2021,93.4
35 to 39,1/1/2010,86.2
35 to 39,1/1/2011,87.3
35 to 39,1/1/2012,88
35 to 39,1/1/2013,88
35 to 39,1/1/2014,88.8
35 to 39,1/1/2015,89.1
35 to 39,1/1/2016,89.7
35 to 39,1/1/2017,89.8
35 to 39,1/1/2018,89
35 to 39,1/1/2019,89.6
35 to 39,1/1/2020,90.4
35 to 39,1/1/2021,91.2
40 to 44,1/1/2010,84.4
40 to 44,1/1/2011,84.9
40 to 44,1/1/2012,85.4
40 to 44,1/1/2013,85.7
40 to 44,1/1/2014,87.1
40 to 44,1/1/2015,87.6
40 to 44,1/1/2016,88.2
40 to 44,1/1/2017,87.7
40 to 44,1/1/2018,88.8
40 to 44,1/1/2019,88.7
40 to 44,1/1/2020,89
40 to 44,1/1/2021,90.6
45 to 49,1/1/2010,82.4
45 to 49,1/1/2011,83.7
45 to 49,1/1/2012,84.4
45 to 49,1/1/2013,84.5
45 to 49,1/1/2014,84.7
45 to 49,1/1/2015,85.9
45 to 49,1/1/2016,86.3
45 to 49,1/1/2017,86.8
45 to 49,1/1/2018,86.5
45 to 49,1/1/2019,87.9
45 to 49,1/1/2020,87.4
45 to 49,1/1/2021,88.3
50 to 54,1/1/2010,78.6
50 to 54,1/1/2011,79.7
50 to 54,1/1/2012,79.5
50 to 54,1/1/2013,80
50 to 54,1/1/2014,81.8
50 to 54,1/1/2015,82.4
50 to 54,1/1/2016,81.4
50 to 54,1/1/2017,82.8
50 to 54,1/1/2018,82
50 to 54,1/1/2019,82.3
50 to 54,1/1/2020,82.2
50 to 54,1/1/2021,84.8
55 to 59,1/1/2010,68.3
55 to 59,1/1/2011,70.2
55 to 59,1/1/2012,72.4
55 to 59,1/1/2013,73.2
55 to 59,1/1/2014,74.3
55 to 59,1/1/2015,75.5
55 to 59,1/1/2016,75.8
55 to 59,1/1/2017,74.9
55 to 59,1/1/2018,75.1
55 to 59,1/1/2019,75
55 to 59,1/1/2020,75.9
55 to 59,1/1/2021,77.7
60 to 64,1/1/2010,51
60 to 64,1/1/2011,54.7
60 to 64,1/1/2012,58.1
60 to 64,1/1/2013,59.7
60 to 64,1/1/2014,61.2
60 to 64,1/1/2015,62.4
60 to 64,1/1/2016,62.8
60 to 64,1/1/2017,63.6
60 to 64,1/1/2018,62.2
60 to 64,1/1/2019,63.9
60 to 64,1/1/2020,65
60 to 64,1/1/2021,65.9
65 to 69,1/1/2010,30.9
65 to 69,1/1/2011,36.2
65 to 69,1/1/2012,38.6
65 to 69,1/1/2013,40.2
65 to 69,1/1/2014,41.2
65 to 69,1/1/2015,42.2
65 to 69,1/1/2016,43.2
65 to 69,1/1/2017,43.4
65 to 69,1/1/2018,45.3
65 to 69,1/1/2019,46.1
65 to 69,1/1/2020,48.7
65 to 69,1/1/2021,50.9
70 & Over,1/1/2010,11
70 & Over,1/1/2011,12.5
70 & Over,1/1/2012,13.1
70 & Over,1/1/2013,14.4
70 & Over,1/1/2014,15.3
70 & Over,1/1/2015,14.9
70 & Over,1/1/2016,15
70 & Over,1/1/2017,16.2
70 & Over,1/1/2018,17
70 & Over,1/1/2019,17.6
70 & Over,1/1/2020,19.4
70 & Over,1/1/2021,21.3
