Age Band,Year,Labour force
Total,1/1/2010,2047.3
Total,1/1/2011,2080.1
Total,1/1/2012,2119.6
Total,1/1/2013,2138.8
Total,1/1/2014,2185.2
Total,1/1/2015,2232.3
Total,1/1/2016,2257.6
Total,1/1/2017,2269.7
Total,1/1/2018,2292.7
Total,1/1/2019,2328.5
Total,1/1/2020,2345.5
Total,1/1/2021,2397.8
15 to 19,1/1/2010,41.2
15 to 19,1/1/2011,34.2
15 to 19,1/1/2012,33.9
15 to 19,1/1/2013,31.3
15 to 19,1/1/2014,31
15 to 19,1/1/2015,40.2
15 to 19,1/1/2016,37.9
15 to 19,1/1/2017,35
15 to 19,1/1/2018,37.7
15 to 19,1/1/2019,36.3
15 to 19,1/1/2020,30.1
15 to 19,1/1/2021,28.8
20 to 24,1/1/2010,157.6
20 to 24,1/1/2011,162.1
20 to 24,1/1/2012,171.3
20 to 24,1/1/2013,157.1
20 to 24,1/1/2014,161.2
20 to 24,1/1/2015,166.2
20 to 24,1/1/2016,162.5
20 to 24,1/1/2017,153.2
20 to 24,1/1/2018,151.3
20 to 24,1/1/2019,148.9
20 to 24,1/1/2020,135.7
20 to 24,1/1/2021,139
25 to 29,1/1/2010,223.2
25 to 29,1/1/2011,214.6
25 to 29,1/1/2012,207.3
25 to 29,1/1/2013,209.7
25 to 29,1/1/2014,217.6
25 to 29,1/1/2015,219.4
25 to 29,1/1/2016,239.3
25 to 29,1/1/2017,229.3
25 to 29,1/1/2018,236.7
25 to 29,1/1/2019,239
25 to 29,1/1/2020,247.6
25 to 29,1/1/2021,243.7
30 to 34,1/1/2010,254.7
30 to 34,1/1/2011,249.4
30 to 34,1/1/2012,245
30 to 34,1/1/2013,248.6
30 to 34,1/1/2014,250.1
30 to 34,1/1/2015,243.7
30 to 34,1/1/2016,244.7
30 to 34,1/1/2017,242.4
30 to 34,1/1/2018,241.2
30 to 34,1/1/2019,253.7
30 to 34,1/1/2020,261.5
30 to 34,1/1/2021,305.6
35 to 39,1/1/2010,275
35 to 39,1/1/2011,268.2
35 to 39,1/1/2012,266.3
35 to 39,1/1/2013,262.3
35 to 39,1/1/2014,256.2
35 to 39,1/1/2015,266.8
35 to 39,1/1/2016,259.7
35 to 39,1/1/2017,275
35 to 39,1/1/2018,270.7
35 to 39,1/1/2019,266.7
35 to 39,1/1/2020,272.5
35 to 39,1/1/2021,283.6
40 to 44,1/1/2010,254.4
40 to 44,1/1/2011,256.9
40 to 44,1/1/2012,265.6
40 to 44,1/1/2013,266.3
40 to 44,1/1/2014,265.9
40 to 44,1/1/2015,276
40 to 44,1/1/2016,268.4
40 to 44,1/1/2017,281.1
40 to 44,1/1/2018,278.4
40 to 44,1/1/2019,270.1
40 to 44,1/1/2020,269.2
40 to 44,1/1/2021,280.6
45 to 49,1/1/2010,266.9
45 to 49,1/1/2011,269.4
45 to 49,1/1/2012,269.5
45 to 49,1/1/2013,266.3
45 to 49,1/1/2014,253
45 to 49,1/1/2015,258.6
45 to 49,1/1/2016,260.1
45 to 49,1/1/2017,272.4
45 to 49,1/1/2018,270.9
45 to 49,1/1/2019,284.1
45 to 49,1/1/2020,277.9
45 to 49,1/1/2021,266.7
50 to 54,1/1/2010,235.7
50 to 54,1/1/2011,246.9
50 to 54,1/1/2012,249.2
50 to 54,1/1/2013,255.2
50 to 54,1/1/2014,260.5
50 to 54,1/1/2015,262.6
50 to 54,1/1/2016,262.3
50 to 54,1/1/2017,254.8
50 to 54,1/1/2018,259.8
50 to 54,1/1/2019,256.8
50 to 54,1/1/2020,248.7
50 to 54,1/1/2021,221.2
55 to 59,1/1/2010,178.5
55 to 59,1/1/2011,187.8
55 to 59,1/1/2012,197
55 to 59,1/1/2013,205.3
55 to 59,1/1/2014,220.3
55 to 59,1/1/2015,223.7
55 to 59,1/1/2016,226.9
55 to 59,1/1/2017,213.6
55 to 59,1/1/2018,224.5
55 to 59,1/1/2019,237.1
55 to 59,1/1/2020,235.3
55 to 59,1/1/2021,222.5
60 to 64,1/1/2010,98.7
60 to 64,1/1/2011,114.5
60 to 64,1/1/2012,127.7
60 to 64,1/1/2013,136.9
60 to 64,1/1/2014,150.7
60 to 64,1/1/2015,154.7
60 to 64,1/1/2016,164.1
60 to 64,1/1/2017,166.5
60 to 64,1/1/2018,170.9
60 to 64,1/1/2019,170.2
60 to 64,1/1/2020,181.9
60 to 64,1/1/2021,199.4
65 to 69,1/1/2010,36
65 to 69,1/1/2011,45.1
65 to 69,1/1/2012,53.1
65 to 69,1/1/2013,61.4
65 to 69,1/1/2014,74.2
65 to 69,1/1/2015,78.3
65 to 69,1/1/2016,87.9
65 to 69,1/1/2017,92.1
65 to 69,1/1/2018,93.7
65 to 69,1/1/2019,103.7
65 to 69,1/1/2020,109.2
65 to 69,1/1/2021,125.4
70 & Over,1/1/2010,25.6
70 & Over,1/1/2011,31.2
70 & Over,1/1/2012,33.7
70 & Over,1/1/2013,38.5
70 & Over,1/1/2014,44.5
70 & Over,1/1/2015,42
70 & Over,1/1/2016,43.9
70 & Over,1/1/2017,54.4
70 & Over,1/1/2018,56.9
70 & Over,1/1/2019,62.1
70 & Over,1/1/2020,75.9
70 & Over,1/1/2021,81.1
